Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
103,1,0.0847,4.9066e+01,3.2821e+01,0.66,1.2204e+00,87.57,1.3402e-01,2.17,0.2
104,1,0.0843,5.0856e+01,3.0337e+01,0.63,1.0238e+00,82.46,1.2957e-01,2.07,0.2
105,1,0.0839,4.5850e+01,2.8926e+01,0.60,1.1012e+00,87.00,1.2530e-01,2.11,0.2
106,1,0.0834,4.2813e+01,2.9298e+01,0.63,1.0414e+00,89.67,1.2466e-01,2.04,0.2
107,1,0.0835,4.0432e+01,2.7870e+01,0.62,1.3108e+00,83.47,1.2526e-01,2.08,0.2
108,1,0.0833,4.4865e+01,2.8151e+01,0.60,1.0470e+00,88.91,1.2370e-01,2.07,0.2
109,1,0.0835,4.0174e+01,2.8658e+01,0.64,1.1300e+00,83.69,1.2412e-01,2.04,0.2
110,1,0.0834,4.4147e+01,2.9771e+01,0.62,1.0665e+00,83.38,1.2355e-01,2.07,0.2
111,1,0.0839,4.1874e+01,2.8726e+01,0.61,1.3482e+00,84.22,1.3314e-01,2.11,0.2
112,1,0.0833,4.2795e+01,2.9397e+01,0.63,1.1982e+00,84.04,1.2965e-01,2.10,0.2
113,1,0.0831,5.3587e+01,3.1497e+01,0.61,1.0762e+00,86.09,1.3539e-01,2.12,0.2
114,1,0.0837,3.8863e+01,2.6499e+01,0.59,1.2372e+00,80.29,1.2176e-01,2.03,0.2
115,1,0.0833,3.9650e+01,2.6476e+01,0.59,1.3372e+00,83.11,1.2634e-01,2.06,0.2
116,1,0.0830,3.8713e+01,2.6775e+01,0.60,1.1930e+00,81.84,1.2396e-01,2.03,0.2
117,1,0.0830,3.7503e+01,2.5697e+01,0.58,1.1976e+00,82.12,1.1984e-01,2.04,0.2
118,1,0.0831,4.0665e+01,2.9001e+01,0.61,1.4913e+00,83.38,1.3123e-01,2.10,0.2
119,1,0.0832,3.9923e+01,2.7964e+01,0.60,1.3483e+00,82.06,1.2826e-01,2.07,0.2
120,1,0.0833,3.7963e+01,2.6864e+01,0.60,1.3174e+00,83.14,1.2486e-01,2.03,0.2
121,1,0.0830,3.7116e+01,2.6110e+01,0.59,1.1511e+00,84.42,1.1997e-01,2.01,0.2
122,1,0.0828,3.9049e+01,2.7191e+01,0.60,1.1111e+00,80.43,1.2699e-01,2.06,0.2
123,1,0.0835,3.7111e+01,2.6127e+01,0.59,1.0682e+00,84.29,1.2050e-01,2.01,0.2
124,1,0.0831,3.6837e+01,2.5727e+01,0.58,1.1628e+00,81.07,1.1799e-01,2.02,0.2
125,1,0.0832,3.7609e+01,2.6185e+01,0.59,1.2723e+00,80.84,1.2023e-01,2.01,0.2
126,1,0.0830,4.4838e+01,3.0760e+01,0.63,1.4748e+00,83.54,1.3180e-01,2.08,0.2
127,1,0.0832,3.7926e+01,2.5965e+01,0.58,1.2158e+00,82.76,1.2157e-01,2.00,0.2
128,1,0.0830,4.4877e+01,2.7852e+01,0.58,9.7826e-01,84.74,1.2211e-01,2.07,0.2
129,1,0.0831,3.6024e+01,2.5483e+01,0.58,1.1325e+00,80.63,1.1461e-01,1.99,0.2
130,1,0.0839,3.6055e+01,2.5466e+01,0.57,1.1766e+00,81.02,1.1565e-01,1.97,0.2
131,1,0.0833,3.6270e+01,2.5889e+01,0.58,1.0526e+00,83.21,1.2009e-01,2.00,0.2
132,1,0.0834,4.1101e+01,2.9077e+01,0.62,1.2134e+00,81.38,1.2648e-01,2.06,0.2
133,1,0.0829,4.3061e+01,2.9245e+01,0.61,1.3047e+00,81.44,1.2918e-01,2.04,0.2
134,1,0.0831,4.3324e+01,2.8399e+01,0.60,1.3034e+00,83.63,1.2533e-01,2.02,0.2
