Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
111,1,0.0091,2.1336e+02,1.3953e+01,0.20,2.9354e+01,11425.64,1.8615e+02,2905.99,0.2
112,1,0.0084,2.1216e+02,1.4013e+01,0.24,2.9402e+01,11430.22,1.8615e+02,2910.57,0.2
113,1,0.0104,2.1325e+02,1.4380e+01,0.20,2.9355e+01,11421.87,1.8616e+02,2906.25,0.2
114,1,0.0081,2.1173e+02,1.0935e+01,0.19,2.9303e+01,11427.32,1.8594e+02,2906.02,0.2
115,1,0.0086,2.1245e+02,1.3590e+01,0.21,2.9394e+01,11431.03,1.8610e+02,2907.56,0.2
116,1,0.0087,2.1111e+02,9.0179e+00,0.17,2.9286e+01,11425.12,1.8569e+02,2902.72,0.2
117,1,0.0072,2.1061e+02,1.1776e+01,0.19,2.9285e+01,11427.11,1.8492e+02,2895.86,0.2
118,1,0.0095,2.1236e+02,1.2518e+01,0.19,2.9393e+01,11428.01,1.8597e+02,2904.52,0.2
119,1,0.0075,2.1058e+02,8.0909e+00,0.17,2.9287e+01,11427.10,1.8559e+02,2904.00,0.2
120,1,0.0069,2.1033e+02,8.0305e+00,0.17,2.9291e+01,11431.09,1.8534e+02,2900.53,0.2
121,1,0.0067,2.1113e+02,9.2339e+00,0.17,2.9349e+01,11432.88,1.8581e+02,2905.16,0.2
122,1,0.0073,2.1035e+02,9.0852e+00,0.17,2.9246e+01,11429.01,1.8524e+02,2898.98,0.2
123,1,0.0101,2.1527e+02,1.6741e+01,0.22,2.9406e+01,11428.35,1.8629e+02,2906.25,0.2
124,1,0.0075,2.1319e+02,1.3976e+01,0.20,2.9376e+01,11426.49,1.8619e+02,2907.99,0.2
125,1,0.0077,2.1233e+02,1.2163e+01,0.19,2.9371e+01,11430.28,1.8607e+02,2907.79,0.2
126,1,0.0073,2.1174e+02,9.9331e+00,0.17,2.9305e+01,11426.95,1.8587e+02,2904.41,0.2
127,1,0.0076,2.1024e+02,9.3608e+00,0.18,2.9288e+01,11437.61,1.8517e+02,2898.62,0.2
