Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
71,1,0.1183,4.2345e+02,1.6106e+02,3.49,1.4670e+02,35774.35,1.2937e+02,1988.06,0.4
72,1,0.1462,3.4857e+02,9.4451e+01,2.21,1.4872e+02,37302.68,1.3193e+02,2087.50,0.3
73,1,0.1417,5.3136e+02,2.1587e+02,3.80,1.5759e+02,36917.44,1.4094e+02,2152.18,0.3
74,1,0.1422,3.2172e+02,9.6562e+01,3.38,1.4982e+02,37066.20,1.3301e+02,2092.22,0.3
75,1,0.1150,3.0839e+02,9.0888e+01,2.57,1.4794e+02,37040.85,1.3081e+02,2028.37,0.3
76,1,0.0933,3.1632e+02,8.1917e+01,2.64,1.5057e+02,37515.84,1.3377e+02,2091.94,0.3
77,1,0.0875,3.9357e+02,1.0172e+02,2.04,1.5117e+02,36518.03,1.3434e+02,2089.68,0.2
78,1,0.0768,3.6468e+02,1.1866e+02,2.95,1.5089e+02,35727.14,1.3395e+02,2101.61,0.3
79,1,0.0923,3.0655e+02,7.9837e+01,2.86,1.5019e+02,37294.03,1.3341e+02,2095.70,0.3
80,1,0.0847,3.0336e+02,5.2662e+01,1.61,1.4861e+02,36322.38,1.3164e+02,2066.30,0.2
81,1,0.0672,3.0994e+02,5.5439e+01,1.50,1.4838e+02,36189.95,1.3131e+02,2051.69,0.2
82,1,0.0638,3.9549e+02,1.0448e+02,1.79,1.5253e+02,36341.65,1.3568e+02,2105.54,0.2
83,1,0.0737,3.4048e+02,7.8242e+01,1.79,1.5054e+02,36482.68,1.3362e+02,2089.70,0.2
84,1,0.0852,3.1991e+02,7.7280e+01,1.86,1.5012e+02,36276.06,1.3326e+02,2092.82,0.2
85,1,0.0761,3.1233e+02,6.1690e+01,1.67,1.4883e+02,36190.38,1.3187e+02,2072.75,0.2
86,1,0.0657,3.0856e+02,6.7448e+01,1.87,1.4655e+02,36151.15,1.2946e+02,2047.48,0.2
87,1,0.0614,3.0988e+02,6.2157e+01,1.64,1.4883e+02,36720.04,1.3188e+02,2069.76,0.2
88,1,0.0622,3.2069e+02,5.9319e+01,1.42,1.4955e+02,36146.51,1.3258e+02,2069.55,0.3
89,1,0.0557,3.2627e+02,6.1874e+01,1.45,1.5052e+02,36605.59,1.3363e+02,2091.90,0.3
90,1,0.0545,3.6255e+02,7.1699e+01,1.33,1.5076e+02,36375.39,1.3387e+02,2085.91,0.2
91,1,0.0569,3.0151e+02,5.4755e+01,1.44,1.4740e+02,35979.36,1.3034e+02,2057.12,0.3
92,1,0.0509,3.0276e+02,6.6749e+01,1.57,1.4713e+02,36351.03,1.3003e+02,2039.22,0.3
93,1,0.0628,3.7543e+02,9.1845e+01,1.74,1.5230e+02,36494.27,1.3551e+02,2108.93,0.3
94,1,0.0712,3.0548e+02,4.7540e+01,1.32,1.4978e+02,36368.30,1.3283e+02,2084.54,0.3
95,1,0.0635,3.0224e+02,5.7630e+01,1.39,1.4774e+02,36350.58,1.3076e+02,2056.54,0.2
96,1,0.0640,3.0865e+02,6.3383e+01,1.55,1.4950e+02,36485.59,1.3265e+02,2090.82,0.3
97,1,0.0767,3.1187e+02,9.3442e+01,2.03,1.4621e+02,36340.23,1.2908e+02,2032.21,0.3
98,1,0.0618,3.3772e+02,7.8599e+01,1.37,1.5132e+02,36116.40,1.3443e+02,2097.52,0.3
99,1,0.0513,3.2933e+02,5.6666e+01,1.31,1.4993e+02,36858.70,1.3304e+02,2076.90,0.3
100,1,0.0498,3.0704e+02,5.8796e+01,1.23,1.4758e+02,36428.83,1.3066e+02,2072.66,0.3
101,1,0.0560,3.7114e+02,8.2480e+01,1.43,1.5089e+02,35779.03,1.3393e+02,2086.03,0.3
