Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
88,1,0.2331,2.9889e+02,2.1341e+02,6.31,3.5459e+01,14115.58,3.1843e+01,478.89,0.2
89,1,0.1810,4.2656e+02,1.9884e+02,5.58,3.4982e+01,14470.32,3.3180e+01,493.43,0.2
90,1,0.1544,3.6499e+02,1.9147e+02,5.46,3.4862e+01,14847.91,3.3607e+01,501.71,0.2
91,1,0.1548,3.0757e+02,1.6553e+02,5.11,3.4935e+01,14235.00,3.3304e+01,497.98,0.2
92,1,0.1781,3.4087e+02,1.9678e+02,5.67,3.5919e+01,15027.53,3.4068e+01,514.12,0.2
93,1,0.1659,3.2265e+02,2.2798e+02,5.95,3.5342e+01,13864.69,3.1771e+01,478.22,0.2
94,1,0.1856,2.4628e+02,1.5685e+02,5.29,3.5781e+01,14795.51,3.2762e+01,492.27,0.2
95,1,0.1511,2.7155e+02,1.6599e+02,5.20,3.5032e+01,14589.21,3.2739e+01,491.75,0.2
96,1,0.1602,2.9259e+02,1.8142e+02,5.53,3.3784e+01,13572.34,3.3097e+01,496.17,0.2
97,1,0.1606,2.6528e+02,1.3551e+02,4.55,3.5304e+01,14444.32,3.3283e+01,498.48,0.2
98,1,0.1529,3.2348e+02,2.0809e+02,5.49,3.7218e+01,14717.54,3.2492e+01,489.61,0.2
99,1,0.1621,4.1447e+02,2.0592e+02,5.03,3.4487e+01,13822.92,3.3970e+01,505.86,0.2
100,1,0.1671,2.3989e+02,1.3250e+02,4.71,3.5128e+01,13794.68,3.3191e+01,502.37,0.2
101,1,0.1433,2.6115e+02,1.3188e+02,4.35,3.5876e+01,14290.99,3.2903e+01,499.65,0.2
102,1,0.1374,2.3550e+02,1.4218e+02,5.18,3.4550e+01,13458.98,3.2584e+01,488.12,0.2
103,1,0.1295,2.5119e+02,1.4497e+02,4.79,3.5399e+01,14292.38,3.3885e+01,513.23,0.2
104,1,0.1552,2.4043e+02,1.1825e+02,3.99,3.5973e+01,14297.56,3.3254e+01,504.77,0.2
105,1,0.1408,2.3785e+02,1.3418e+02,4.60,3.6091e+01,14187.23,3.3150e+01,498.15,0.2
106,1,0.1497,3.3219e+02,1.7444e+02,5.34,3.5845e+01,14769.05,3.4231e+01,512.15,0.2
107,1,0.1433,3.0654e+02,1.6457e+02,4.49,3.5236e+01,14434.73,3.3757e+01,502.42,0.2
108,1,0.1654,2.9630e+02,1.9797e+02,6.74,3.7941e+01,14818.02,3.3657e+01,510.81,0.2
109,1,0.1675,5.5173e+02,2.8750e+02,6.43,3.4565e+01,12843.24,3.4122e+01,509.10,0.2
110,1,0.1759,2.7926e+02,1.6196e+02,5.17,3.7031e+01,15133.14,3.3306e+01,506.39,0.2
111,1,0.1324,2.8171e+02,1.3586e+02,4.07,3.4507e+01,14002.07,3.3313e+01,500.28,0.2
112,1,0.1580,2.3053e+02,1.1913e+02,4.34,3.6279e+01,14499.76,3.3457e+01,502.86,0.2
